,text
75,"['aduhmau', 'bayar', 'pajak', 'stnk', 'motor', 'dan', 'perpanjangan', 'sim', 'motor', 'tapi', 'bpjs', 'kesehatan', 'msh', 'nonaktif', 'bisa', 'gak', 'yah']"
76,"['semoga', 'nanti', 'kek', 'bpjs', 'sim', 'dll', 'juga', 'mulai', 'bisa', 'menyusul', 'untuk', 'pakai', 'nik', 'aja', 'biar', 'gak', 'terlalu', 'repot', 'kalau', 'harus', 'apa', 'apa', 'juga', 'jadi', 'lebih', 'gampang']"
77,"['waktu', 'program', 'ektp', 'dijalankan', 'memang', 'idenya', 'nik', 'itu', 'jadi', 'single', 'identity', 'number', 'untuk', 'npwp', 'sim', 'bpjs', 'dst', 'ektpnya', 'sendiri', 'juga', 'dirancang', 'untuk', 'kartu', 'atm', 'juga', 'koq', 'tapi', 'sampai', 'hari', 'ini', 'kita', 'masih', 'fotocopy', 'ktp']"
78,"['gini', 'nih', 'klk', 'sim', 'nembak', 'tapi', 'ngak', 'liat', 'video', 'edukasi', 'berkendara', 'ya', 'setidaknya', 'lu', 'lihat', 'noh', 'mungkin', 'ini', 'pentingnya', 'calo', 'mengedukasi', 'terlebih', 'dahulu', 'agar', 'tidak', 'jadi', 'beban', 'pengendara', 'lainnya', 'ngene', 'lek', 'rusak', 'motormu', 'ra', 'di', 'tanggung', 'bpjs', 'mbak']"
79,"['fess', 'masmbak', 'ada', 'yang', 'bulan', 'terakhir', 'ini', 'ngurus', 'perpanjangan', 'sim', 'di', 'solo', 'apakah', 'kepesertaan', 'aktif', 'bpjs', 'jadi', 'syarat', 'suwun']"
80,"['salah', 'satu', 'kelebihanku', 'hafal', 'nik', 'hafal', 'sim', 'hafal', 'bpjs', 'hafal', 'kk', 'hafal', 'nomer', 'wa', 'kamu', 'xixixi']"
81,"['knp', 'dlu', 'wktu', 'sklh', 'ga', 'di', 'ajarin', 'cara', 'ngurus', 'bpjs', 'cara', 'kpr', 'rumah', 'cara', 'ngurusin', 'sim', 'cara', 'perpanjang', 'ktp', 'sim', 'bpkb', 'dll', 'soalny', 'ni', 'skrg', 'w', 'mau', 'apa', 'jd', 'takut', 'salah', 'dan', 'karagok', 'bgt', 'hdrh']"
82,"['selama', 'dirawat', 'disana', 'saya', 'jadi', 'tahu', 'betapa', 'busuknya', 'jasaraharja', 'bpjs', 'dan', 'rs', 'jadi', 'untuk', 'kasus', 'kecelakaan', 'tidak', 'bisa', 'menggunakan', 'bpjs', 'bisanya', 'jasaraharja', 'namun', 'kondisi', 'saya', 'jatuh', 'kejambret', 'jadi', 'itu', 'kriminal', 'waduh', 'sulit', 'kan', 'tapi', 'juga', 'saya', 'mengakui', 'kalau', 'saya', 'juga', 'gapunya', 'sim']"
83,"['hbd', 'wyatb', 'gbu', 'gbk', 'hi', 'ktp', 'sim', 'bpjs', 'kji', 'osh', 'pcy']"
84,"['ide', 'bagus', 'pejabat', 'bikin', 'akun', 'memyuruh', 'rakyatnya', 'wajib', 'subscribe', 'karena', 'jika', 'tidak', 'maka', 'tidak', 'mengurus', 'sim', 'ktp', 'dan', 'klaim', 'bpjs', 'rutin', 'membuat', 'konten', 'kemudian', 'dipakai', 'buat', 'jaminan', 'utang', 'ke', 'bank', 'dunia']"
85,"['jangan', 'cuman', 'saran', 'aja', 'bu', 'tapi', 'usir', 'dan', 'non', 'aktifin', 'bpjs', 'paspor', 'sim', 'ektp', 'kknya', 'beserta', 'npwpnya', 'biar', 'tahu', 'rasa', 'mereka', 'ketika', 'ngurus', 'sesuatu', 'ditolak', 'semua', 'masih', 'nyari', 'makan', 'di', 'tanah', 'ibu', 'pertiwi', 'aja', 'omongannya', 'sok', 'iye', 'dasar', 'sampah', 'masyarakat']"
86,"['punya', 'ktp', 'atm', 'sim', 'sama', 'disuruh', 'pegang', 'kartu', 'bpjs', 'sendiri', 'keren', 'kayak', 'orang', 'gede']"
87,"['berharap', 'kedepannya', 'di', 'dompet', 'cuma', 'ada', 'kartu', 'yang', 'berfungsi', 'untuk', 'semuanya', 'termasuk', 'bpjs', 'sim', 'stnk', 'etol', 'dll']"
88,"['good', 'job', 'dirjen', 'pajak', 'tinggal', 'menunggu', 'bpjs', 'dan', 'sim', 'menggunakan', 'nik', 'menuju', 'single', 'identity', 'number']"
89,"['kartu', 'mahasiswa', 'sim', 'ktp', 'krtu', 'bpjs', 'keluarin', 'semuanya']"
90,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'cicilhp', 'cicilantanpakartukredit', 'cicilanmurah']"
91,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'cicilhp', 'cicilantanpakartukredit', 'cicilanmurah']"
